crag,name,grade,ascents
cumberland,7-11,7A+,524
cumberland,Salo's Roof,7C,204
cumberland,Gross's Roof,8A,189
cumberland,Riverside,6C,180
cumberland,The Power Prow Sit,7A+,176
cumberland,Slurpee Stand,7B+,150
cumberland,45 Traverse,7A,125
cumberland,7-11 Low,7C+,124
cumberland,Texas Toast,7C+,114
cumberland,Hueco Roof Right,6B,109
cumberland,Hueco Roof Left,6B,106
cumberland,Labanese,7B+,98
cumberland,Penthouse,7C,82
cumberland,Not Down with OPP,6B,75
cumberland,Panic Room,7A,73
cumberland,Riverfront,6C,68
cumberland,Grunt,6B,63
cumberland,Big Gulp Stand,7C,62
cumberland,Slurpee,7C+,62
cumberland,Big Gulp,8A,59
cumberland,Bounce Test,6C,59
cumberland,Fallen limbs,7A+,54
cumberland,Chietlas Ladder,7C,50
cumberland,Cake Walk,7C,39
cumberland,Texas Toast Low,8A,37
cumberland,Doppelgänger Low,7A+,34
cumberland,Melania's Holes,6C,33
cumberland,Undercover Cutie,6C,31
cumberland,center face,7A,31
cumberland,The Power Prow,7A+,30
cumberland,Left 45,6B,29
cumberland,Cake Walk Low,7C+,28
cumberland,No Dice,6B,25
cumberland,N.N.,6C,24
cumberland,Adactyly / Gerstmann,7C+,20
cumberland,Bounce Test Low,7A+,19
cumberland,Doppelgänger,7A,18
cumberland,Slurpee Low,7C+,17
cumberland,Over the River,6C,16
cumberland,Power Prow,7B+,15
cumberland,Cold Stone Therapy,6B,14
cumberland,Rainy Days,6C,13
cumberland,Pocket Surprise,6B,13
cumberland,Barefoot Arete,5C,13
cumberland,Pestilence / The Tongue,7A,11
cumberland,Center 45,6A,11
cumberland,Down By the River,6A,11
cumberland,slopey problem,7A,10
cumberland,Great Value Butter Toast,7C,10
cumberland,Ear,5C,9
cumberland,Forgotten 45,6B,9
cumberland,Snake Eyes Deluxe,6C,9
cumberland,Treach,6B,8
cumberland,right face problem,6B,8
cumberland,Fervor,7A,8
cumberland,Penthouse Low,7C+,8
cumberland,warmup roof right,6A,7
cumberland,Fear,6A,7
cumberland,Warm up roof left,6B,7
cumberland,v7 roof,7A+,6
cumberland,Tatonka / Salo's Roof Direct,7C+,6
cumberland,Israili,6C,6
cumberland,Arctic Sun,7B+,6
cumberland,Gross's roof sit down,8B,5
cumberland,Tweener,5C,5
cumberland,The Ear,5C,5
cumberland,Time Stretch,8A,5
cumberland,Loathing,6A,5
cumberland,Game Time,6A,4
cumberland,Riverwalk,7A+,4
cumberland,Prow 1,5C,4
cumberland,Chumskates,7A+,4
cumberland,Jugs for Days,5A,4
cumberland,N.N.,6C,4
cumberland,Grinder,4C,4
cumberland,N.N. (riff to mantle),6C,4
cumberland,Lazy River,5B,4
cumberland,Dumpstank,6A,4
cumberland,Slap Tickle,5A,4
cumberland,Roof Line,7A,4
cumberland,Peanut Gallery,5C,3
cumberland,Trailside Roof,7A,3
cumberland,right 45,6A,3
cumberland,Groove Train,6C,3
cumberland,right line,7A,3
cumberland,Dead Leg,6B,3
cumberland,Tweeker,6C,3
cumberland,N.N.,6B,3
cumberland,Deep Grunt,6C,3
cumberland,Sippy Cup,5B,3
cumberland,Flow,7A+,3
cumberland,Locals Only,7A,2
cumberland,Prow line 1,5A,2
cumberland,Flinger,5B,2
cumberland,Prow 3,5C,2
cumberland,Anthony Dickus,6B,2
cumberland,45 Reverse Traverse,7A+,2
cumberland,sans pedestal,6C,2
cumberland,Pocket Problem,6C,2
cumberland,Shadowy Figure,4C,2
cumberland,The Face,6A,2
cumberland,Prow line 2,5A,2
cumberland,Texas Toast Low Right,8A,2
cumberland,warmup roof r -> l,6B,2
cumberland,In your face,7A+,2
cumberland,Wicked Dickus,7A+,2
cumberland,Put A Sock In It,7B+,2
cumberland,The Slap,6A,2
cumberland,N.N.,6A,2
cumberland,Penthouse Sit,7C+,2
cumberland,N.N.,7B,2
cumberland,Trailside Turds,6B,2
cumberland,Bathhouse,7C,2
cumberland,Riverside Low,7A+,2
cumberland,sloper problem,6C,2
cumberland,Low Roof v4,6B,2
cumberland,Warmup Roof Left,6B,2
cumberland,Hueco Roof Arete,6B,2
cumberland,Arete Problem,5C,2
cumberland,tatonka stand,6C,2
cumberland,N.N. (V4),6B,2
cumberland,Fear SDS,6A,2
cumberland,Hueco Right,6A,2
cumberland,Prow line 3,5C,2
cumberland,Finagler,5C,2
cumberland,Split,5C,2
cumberland,Obtuse,5C,2
cumberland,Anthony Dickens,6B,2
cumberland,Boning The Pooch,6C,2
cumberland,N.N.,7C,2
cumberland,The Full Hueco,6C,2
cumberland,Fallen Limb,7A+,2
cumberland,Lowdown,5C,2
cumberland,bok bok right,6C,2
cumberland,Not Down With O.P.P,6B,2
cumberland,Moss Meander,6B,2
