crag,name,grade,ascents
horse-pens-40,Bumboy,6A,763
horse-pens-40,Hammerhead,6C,531
horse-pens-40,Redneck,7A,505
horse-pens-40,Cuts Like a Knife,6C,437
horse-pens-40,Genesis,6A,418
horse-pens-40,Popeye,6C,414
horse-pens-40,Millipede,6C,333
horse-pens-40,Lowdown,6B,313
horse-pens-40,Centerpede,6B,300
horse-pens-40,The Crown,6A,268
horse-pens-40,The Beach,6B,265
horse-pens-40,Uniball,6B,260
horse-pens-40,Great White,7A+,254
horse-pens-40,Red Arrow,6B,233
horse-pens-40,Slider,7C,229
horse-pens-40,Litz Pocket Problem,7B+,219
horse-pens-40,Mulletino,6C,217
horse-pens-40,Man with the Slow Hand,6B,211
horse-pens-40,Slush Puppy,6B,204
horse-pens-40,Supa Coola,7A,189
horse-pens-40,Stepchild,7B+,182
horse-pens-40,Swirls,6B,181
horse-pens-40,Thugs and Bitches,7B+,175
horse-pens-40,Lou-ser,7A+,171
horse-pens-40,Slingin' Meat,6B,170
horse-pens-40,Panty shields,6A,169
horse-pens-40,Mariachi,6C,168
horse-pens-40,WASP,5C,168
horse-pens-40,Getcha Some,7A,166
horse-pens-40,Spirit,6A,162
horse-pens-40,"Earth, Wind, and Fire",6A,159
horse-pens-40,Permanent Scream,6C,156
horse-pens-40,It's a natural,7A+,151
horse-pens-40,Lawdog,7B+,145
horse-pens-40,Eight Ball,5C,141
horse-pens-40,The flow,7A+,140
horse-pens-40,Slabolicious,7A,134
horse-pens-40,Chattanooga Plow,7A+,134
horse-pens-40,The Thief,7B,132
horse-pens-40,Ghetto Superstar,7C,129
horse-pens-40,Boomslang,7A,128
horse-pens-40,Consumption,7A+,127
horse-pens-40,Copa Cabana,6A,127
horse-pens-40,Trick or Treat,7A,120
horse-pens-40,Skywalker,7C,119
horse-pens-40,Crisifix,6C,118
horse-pens-40,Kiss,7A+,114
horse-pens-40,Mortal Combat,6B,112
horse-pens-40,Short Long,7A+,110
horse-pens-40,God Module,8A,110
horse-pens-40,Honky Tonkin',6B,110
horse-pens-40,Dope,5C,107
horse-pens-40,Drainpipe,7A,106
horse-pens-40,Hugs and Kisses,7B+,105
horse-pens-40,Merlin,5B,105
horse-pens-40,Waterloo,7B+,102
horse-pens-40,Warning Signs,6C,97
horse-pens-40,Inspect Her Gadget,7A+,94
horse-pens-40,Whiplash,6C,93
horse-pens-40,Sideline,6C,92
horse-pens-40,Slag,6C,92
horse-pens-40,The Stranger,5C,91
horse-pens-40,The Wood,6C,88
horse-pens-40,SandBox,5C,86
horse-pens-40,Mulletino,7A,85
horse-pens-40,Getting Jiggy With It,7A,85
horse-pens-40,Grooverider,6A,85
horse-pens-40,VIP,6C,81
horse-pens-40,Green Lantern,6B,78
horse-pens-40,Megatron,7B+,77
horse-pens-40,Never Trust a Mustache,6B,76
horse-pens-40,Moms,5C,75
horse-pens-40,Double Groove,6A,73
horse-pens-40,Out of the Box,7A,73
horse-pens-40,landslide,7B+,73
horse-pens-40,Bombedil,6A,70
horse-pens-40,Cadillac Thrills,7C,69
horse-pens-40,Moon Arete,7A,68
horse-pens-40,Sweet Spot,7A+,67
horse-pens-40,Wasteland,6C,66
horse-pens-40,High Life,7A,66
horse-pens-40,Hercules,6C,64
horse-pens-40,Citadel Problem,6B,62
horse-pens-40,Boogey Wonderland,6B,62
horse-pens-40,Odd Job,7B+,61
horse-pens-40,Turtle Head Right,5C,61
horse-pens-40,Suspicion,7B+,59
horse-pens-40,Growing Stone,5C,58
horse-pens-40,Ring My Bell,5C,58
horse-pens-40,Green Lantern low,7B+,57
horse-pens-40,Old Inspirations,7A+,57
horse-pens-40,Orca,6A,57
horse-pens-40,Satanic Verses,6C,56
horse-pens-40,The Kind Flake,6A,56
horse-pens-40,Grab Me,7A+,55
horse-pens-40,cuts like a knife low,7A+,54
horse-pens-40,Thumbalina,6B,53
horse-pens-40,american pie,7B+,53
horse-pens-40,Slush Puppy Low,7A+,52
horse-pens-40,horsepower,6A,52
horse-pens-40,Silky,5A,52
horse-pens-40,Chicks,5B,51
horse-pens-40,SuperNova,7B+,51
horse-pens-40,Orchid,5C,50
horse-pens-40,Fun Dip,6B,49
horse-pens-40,Five-O,7C,49
horse-pens-40,Turtle Head Left,5A,49
horse-pens-40,I Hate Cops,6C,48
horse-pens-40,Karne,7A,48
horse-pens-40,Night Fever,5A,47
horse-pens-40,Lady Slipper,5C,47
horse-pens-40,stretch armstrong,7A,46
horse-pens-40,Blue Justice,6B,46
horse-pens-40,Lea's Problem,6C,46
horse-pens-40,Missing the Point,7A+,45
horse-pens-40,700 Club,7A,45
horse-pens-40,Stingray,7C,43
horse-pens-40,Spur of the Moment,5C,43
horse-pens-40,Slabolicious Low,7B+,42
horse-pens-40,Louis Groove,6B,42
horse-pens-40,Contraband,5B,42
horse-pens-40,Brass Monkey,7A+,42
horse-pens-40,Turtle Head,5C,41
horse-pens-40,Sometimes...,6A,41
horse-pens-40,no tranquility,7C,40
horse-pens-40,JB Groove,5C,39
horse-pens-40,Brawn,6A,38
horse-pens-40,Red Arrow 2,6A,37
horse-pens-40,Circumcision,6A,37
horse-pens-40,Chasers,5C,36
horse-pens-40,Lay it down,6A,35
horse-pens-40,Ketchup,5B,35
horse-pens-40,Alabama Tiller,7B+,35
horse-pens-40,Behind The Tree,5C,34
horse-pens-40,lucky charms,5C,34
horse-pens-40,Gadget Direct,6B,33
horse-pens-40,Just Massage Oil,6A,33
horse-pens-40,Groove 2,5C,33
horse-pens-40,Genocide,6B,32
horse-pens-40,Bridge Arete,5C,31
horse-pens-40,Pocket Pool,5A,31
horse-pens-40,Wrist Distentia,7C,30
horse-pens-40,Stepchild Low,7B+,30
horse-pens-40,blob,5C,30
horse-pens-40,Contusion,5C,29
horse-pens-40,Don't Rock My Boat,7B,29
horse-pens-40,Plinko,6A,29
horse-pens-40,tick or tie,6C,28
horse-pens-40,The Thespian,6A,27
horse-pens-40,Kingpin,7A,27
horse-pens-40,Get Shorty,6B+,27
horse-pens-40,Snibe,5B,27
horse-pens-40,Self Inflicted,7B,26
horse-pens-40,Hot n Tot,7C+,26
horse-pens-40,Spook Eye,6A,26
horse-pens-40,Breaktime,5A,26
horse-pens-40,Squeeze Play,7A+,25
horse-pens-40,N.N.,6A+,25
horse-pens-40,twix lips,6B,24
horse-pens-40,chevy,7A+,24
horse-pens-40,The Ocean,5C,24
horse-pens-40,HP Whorehouse,6C,24
horse-pens-40,Gary Problem,7A+,23
horse-pens-40,Ice,7B+,23
horse-pens-40,Spandex Ballet Low,7A,23
horse-pens-40,Sunbeam,6A,23
horse-pens-40,Slider sit,7C+,23
horse-pens-40,Sure Thing,5C,23
horse-pens-40,Vandala,5B,22
horse-pens-40,Mainline,6B,22
horse-pens-40,Short Change,5C,22
horse-pens-40,Big Boss Man,7B+,22
horse-pens-40,Cave Traverse,6A,22
horse-pens-40,Stage Fright,6B,22
horse-pens-40,Webb Option,7A,21
horse-pens-40,N.N.,6B+,20
horse-pens-40,Bump That,6B,20
horse-pens-40,Message from the Masters,7B+,20
horse-pens-40,Melodrama,7B+,20
horse-pens-40,Sure,5B,20
horse-pens-40,Pearl Necklace,5C,20
horse-pens-40,Boink,6A,19
horse-pens-40,Mulletino Variation,6C,19
horse-pens-40,JB1,5A,18
horse-pens-40,Momma's Boy,6B,18
horse-pens-40,Private Moment,5B,18
horse-pens-40,Opt Out,5C,18
horse-pens-40,N.N.,7A,18
horse-pens-40,Merlin's hat,5B,18
horse-pens-40,Television,5B,18
horse-pens-40,Stare,4A,18
horse-pens-40,Boomslang low,7A+,17
horse-pens-40,Going the Distance,7B+,17
horse-pens-40,Hang Loose,7A+,17
horse-pens-40,Lob,4C,17
horse-pens-40,Slice,5C,17
horse-pens-40,N.N. (Left of Pine),5A,17
horse-pens-40,Not It,7A+,16
horse-pens-40,Picante,6B,16
horse-pens-40,Orange Slice,6A,16
horse-pens-40,Not It,7A+,16
horse-pens-40,Picante,6B,16
horse-pens-40,Orange Slice,6A,16
horse-pens-40,Crack Pipe,5A,16
horse-pens-40,Waiting Line,6A,16
horse-pens-40,Super Koola,7B,15
horse-pens-40,Red Lobster,6B,15
horse-pens-40,Classless,5C,15
horse-pens-40,Las Americas,5B,15
horse-pens-40,Groove 3,3A,15
horse-pens-40,Cross Me,5B,15
horse-pens-40,Green Velvet,5A,14
horse-pens-40,Ice Cream,5B,14
horse-pens-40,Panty Raid,5C,14
horse-pens-40,Easy Touch,7A,13
horse-pens-40,Space,7A,13
horse-pens-40,the chamber,5B,13
horse-pens-40,Little Red Arrow,6A,13
horse-pens-40,Crystal Tips,7B+,13
horse-pens-40,The Drop,4A,13
horse-pens-40,HL Slab,5A,12
horse-pens-40,Groove 2,5C,12
horse-pens-40,Lip Service,7A+,12
horse-pens-40,beta boy,7B+,12
horse-pens-40,Dope Traverse,6A,12
horse-pens-40,Easy rider,6A,12
horse-pens-40,Low Life,6A,12
horse-pens-40,Busu,5C,12
horse-pens-40,Pookie,7B+,11
horse-pens-40,melanor,7A+,11
horse-pens-40,Matchmaker,8A,11
horse-pens-40,The Rail,3A,11
horse-pens-40,another litz,7C,11
horse-pens-40,ivy man,7A,11
horse-pens-40,Mr. Sir,7B+,11
