crag,name,grade,ascents
old-wauhatchie-pike,What a View,6C,13
old-wauhatchie-pike,Slotsky's Deli,6C+,11
old-wauhatchie-pike,Troll Toll,6C+,11
old-wauhatchie-pike,Can You Dig It?,6C,10
old-wauhatchie-pike,"Moon Beam Sit, Right",6B,10
old-wauhatchie-pike,Old Greg,6C,9
old-wauhatchie-pike,"Moon Beam sit, left",6C+,8
old-wauhatchie-pike,Chief Wauhatchie,6C,7
old-wauhatchie-pike,Lay It Down,6C+,7
old-wauhatchie-pike,Siblings,6B,6
old-wauhatchie-pike,Asteroids,7A,6
old-wauhatchie-pike,Balance Act,7A,5
old-wauhatchie-pike,Sales Job,6A,5
old-wauhatchie-pike,Luna Tunes,6C+,5
old-wauhatchie-pike,On the Spot,5C,5
old-wauhatchie-pike,Coming Up,5C,5
old-wauhatchie-pike,Cleaved,5C,4
old-wauhatchie-pike,She's Twenty-One!,5B,4
old-wauhatchie-pike,Ridge Traverse,5A,4
old-wauhatchie-pike,Kraftwerk,6B,4
old-wauhatchie-pike,Barishnikov Dyno,6A,4
old-wauhatchie-pike,Lil' Dyno,6B,4
old-wauhatchie-pike,Mantle Practice,5A,4
old-wauhatchie-pike,Square Cut,5A,4
old-wauhatchie-pike,Left Slab,5A,4
old-wauhatchie-pike,Muzzle Loader,5B,4
old-wauhatchie-pike,Finish Line,5A,4
old-wauhatchie-pike,Bread Loaf,5B,3
old-wauhatchie-pike,Numero Uno,5A,3
old-wauhatchie-pike,Iron Spike,5B,3
old-wauhatchie-pike,The Fence,5A,3
old-wauhatchie-pike,Rock Mont,5A,3
old-wauhatchie-pike,Shark Mouth,6A,3
old-wauhatchie-pike,Roll Deep,5B,3
old-wauhatchie-pike,Gully Gully,5A,3
old-wauhatchie-pike,Hand Jam Ma'am,5A,3
old-wauhatchie-pike,Tailored for You,5C,3
old-wauhatchie-pike,One Hit Wonder,5B,3
old-wauhatchie-pike,Slide Traverse,6C+,3
old-wauhatchie-pike,What a View,6B,3
old-wauhatchie-pike,Angle Fangle,7A,3
old-wauhatchie-pike,Rise Again,5A,3
old-wauhatchie-pike,Clever Knee,5B,3
old-wauhatchie-pike,"Moon Beam Sit, Left",6B,3
old-wauhatchie-pike,Oh Brother,6B,3
old-wauhatchie-pike,Dorsal Loaf Sit,7A,3
old-wauhatchie-pike,Trash Foxy Right,6A,3
old-wauhatchie-pike,High Council,5B,3
old-wauhatchie-pike,Full Moon,6C,3
old-wauhatchie-pike,Inspector Gadget,6C,3
old-wauhatchie-pike,What a View!,6B,3
old-wauhatchie-pike,Big Reveal,6C+,3
old-wauhatchie-pike,The Hole,5B,3
old-wauhatchie-pike,William,5A,3
