crag,name,grade,ascents
roberts-mill,double dragon,7B+,32
roberts-mill,The Tomb,7B+,32
roberts-mill,Temple of Doom,7C+,22
roberts-mill,Luminous Transformation,8A,19
roberts-mill,The Watchtower,7B+,15
roberts-mill,Roberts Mill Arete,7A+,12
roberts-mill,Bury Me Here,7A,9
roberts-mill,Watch tower,7B+,9
roberts-mill,Fire From Within,7C,8
roberts-mill,Do Not Disturb,7C,8
roberts-mill,Bury Me there,7A,8
roberts-mill,Thug Life,7B+,8
roberts-mill,Robert's Arete,7A,7
roberts-mill,Fire From Within Low,7C+,7
roberts-mill,Tomb Raider,7B+,7
roberts-mill,Tomb Raider,7C,5
roberts-mill,Fire Within the Temple,7C+,4
roberts-mill,Bunch of Crimps,6B,4
roberts-mill,Three Point Oh,5A,4
roberts-mill,Bunch of Wimps,5C,4
roberts-mill,The Watchtower,7B+,3
roberts-mill,Tomb,7B+,3
roberts-mill,N.N.,6C,3
roberts-mill,Bunch of Tombs,6A,3
roberts-mill,New Kid in Town,6C,2
roberts-mill,Sit in the Mud,7A+,2
roberts-mill,Tombraider,7C,2
roberts-mill,Double Dragon Extension,7C+,2
roberts-mill,Stick in the Mud,6C,1
roberts-mill,fire from within (tomb start),8A,1
roberts-mill,Sit in the Mud,7A+,1
roberts-mill,N.N. (V7),7A+,1
roberts-mill,N.N.,7A+,1
roberts-mill,Dark Arts,7A+,1
roberts-mill,fire temple,7C+,1
roberts-mill,railin the double d's,7B+,1
roberts-mill,N.N.,7A,1
roberts-mill,To the right of thug life,7A+,1
roberts-mill,The Great Wall,7B+,1
roberts-mill,Stick in the Mud,6C,1
roberts-mill,Temple of Doom,7C,1
roberts-mill,Fire Within the Temple Low,8A,1
roberts-mill,Laura Croft,6C,1
roberts-mill,The Great Wall,7B+,1
roberts-mill,double dragon (right extension),7C,1
roberts-mill,Dark Arts,7A+,1
roberts-mill,tomb (left exit),7C,1
roberts-mill,Little Dragon,7C+,1
roberts-mill,Go For Two,7A,1
roberts-mill,Jahstar,7A,1
roberts-mill,N.N.,6B,1
roberts-mill,Fire From Within (Original Low),8A,1
roberts-mill,The Bow,7A+,1
roberts-mill,Little Dragon,7C,1
