crag,name,grade,ascents
cumberland,7-11,v7,524
cumberland,salo's roof,v9,204
cumberland,gross's roof,v11,189
cumberland,riverside,v5,180
cumberland,the power prow sit,v7,176
cumberland,slurpee stand,v8,150
cumberland,45 traverse,v6,125
cumberland,7-11 low,v10,124
cumberland,texas toast,v10,114
cumberland,hueco roof right,v4,109
cumberland,hueco roof left,v4,106
cumberland,labanese,v8,98
cumberland,penthouse,v9,82
cumberland,not down with opp,v4,75
cumberland,panic room,v6,73
cumberland,riverfront,v5,68
cumberland,grunt,v4,63
cumberland,big gulp stand,v9,62
cumberland,slurpee,v10,62
cumberland,big gulp,v11,59
cumberland,bounce test,v5,59
cumberland,fallen limbs,v7,54
cumberland,chietlas ladder,v9,50
cumberland,cake walk,v9,39
cumberland,texas toast low,v11,37
cumberland,doppelgänger low,v7,34
cumberland,melania's holes,v5,33
cumberland,undercover cutie,v5,31
cumberland,center face,v6,31
cumberland,the power prow,v7,30
cumberland,left 45,v4,29
cumberland,cake walk low,v10,28
cumberland,no dice,v4,25
cumberland,adactyly / gerstmann,v10,20
cumberland,bounce test low,v7,19
cumberland,doppelgänger,v6,18
cumberland,slurpee low,v10,17
cumberland,over the river,v5,16
cumberland,power prow,v8,15
cumberland,cold stone therapy,v4,14
cumberland,rainy days,v5,13
cumberland,pocket surprise,v4,13
cumberland,barefoot arete,v2,13
cumberland,pestilence / the tongue,v6,11
cumberland,center 45,v3,11
cumberland,down by the river,v3,11
cumberland,slopey problem,v6,10
cumberland,great value butter toast,v9,10
cumberland,ear,v2,9
cumberland,forgotten 45,v4,9
cumberland,snake eyes deluxe,v5,9
cumberland,penthouse low,v10,8
cumberland,fervor,v6,8
cumberland,right face problem,v4,8
cumberland,treach,v4,8
cumberland,warmup roof right,v3,7
cumberland,fear,v3,7
cumberland,warm up roof left,v4,7
cumberland,v7 roof,v7,6
cumberland,tatonka / salo's roof direct,v10,6
cumberland,israili,v5,6
cumberland,arctic sun,v8,6
cumberland,time stretch,v11,5
cumberland,loathing,v3,5
cumberland,gross's roof sit down,v13,5
cumberland,the ear,v2,5
cumberland,tweener,v2,5
cumberland,roof line,v6,4
cumberland,slap tickle,v0,4
cumberland,dumpstank,v3,4
cumberland,lazy river,v1,4
cumberland,game time,v3,4
cumberland,jugs for days,v0,4
cumberland,chumskates,v7,4
cumberland,prow 1,v2,4
cumberland,riverwalk,v7,4
cumberland,flow,v7,3
cumberland,sippy cup,v1,3
cumberland,dead leg,v4,3
cumberland,deep grunt,v5,3
cumberland,tweeker,v5,3
cumberland,right 45,v3,3
cumberland,right line,v6,3
cumberland,trailside roof,v6,3
cumberland,peanut gallery,v2,3
cumberland,groove train,v5,3
cumberland,finagler,v2,2
cumberland,low roof v4,v4,2
cumberland,warmup roof left,v4,2
cumberland,hueco roof arete,v4,2
cumberland,arete problem,v2,2
cumberland,tatonka stand,v5,2
cumberland,fear sds,v3,2
cumberland,hueco right,v3,2
cumberland,prow line 3,v2,2
cumberland,obtuse,v2,2
cumberland,split,v2,2
cumberland,anthony dickens,v4,2
cumberland,the full hueco,v5,2
cumberland,fallen limb,v7,2
cumberland,lowdown,v2,2
cumberland,bok bok right,v5,2
cumberland,not down with o.p.p,v4,2
cumberland,moss meander,v4,2
cumberland,sloper problem,v5,2
cumberland,riverside low,v7,2
cumberland,bathhouse,v9,2
cumberland,trailside turds,v4,2
cumberland,locals only,v6,2
cumberland,prow line 1,v0,2
cumberland,flinger,v1,2
cumberland,prow 3,v2,2
cumberland,anthony dickus,v4,2
cumberland,sans pedestal,v5,2
cumberland,pocket problem,v5,2
cumberland,45 reverse traverse,v7,2
cumberland,the face,v3,2
cumberland,texas toast low right,v11,2
cumberland,penthouse sit,v10,2
cumberland,warmup roof r -> l,v4,2
cumberland,in your face,v7,2
cumberland,wicked dickus,v7,2
cumberland,put a sock in it,v8,2
cumberland,the slap,v3,2
cumberland,prow line 2,v0,2
cumberland,powerball,v9,1
cumberland,by the river jordan,v9,1
cumberland,time stretch stand,v7,1
cumberland,big arete,v3,1
cumberland,long daniel,v0,1
cumberland,slurpie,v9,1
cumberland,creek problem,v5,1
cumberland,salo's stand,v6,1
cumberland,over under,v2,1
cumberland,hueco arrete left,v4,1
cumberland,dream eater,v8,1
cumberland,windtwist,v4,1
cumberland,saint john,v5,1
cumberland,flat bottom burl,v4,1
cumberland,low rider,v5,1
cumberland,mr crowley,v3,1
cumberland,dragon area?,v5,1
cumberland,mr crowleys horse,v4,1
cumberland,resolutions,v6,1
cumberland,power prow extension,v8,1
cumberland,old man syndrome,v6,1
cumberland,hollow back,v1,1
cumberland,birdhouse,v6,1
cumberland,solar power,v6,1
cumberland,hueco roof,v4,1
cumberland,dirty whirl,v2,1
cumberland,nipple burn,v6,1
cumberland,meower meow,v8,1
cumberland,stand and deliver,v2,1
cumberland,stone dragon,v3,1
cumberland,smoke,v0,1
cumberland,skirt,v3,1
cumberland,left traverse,v7,1
cumberland,in the south,v5,1
cumberland,the penny jane memorial problem,v4,1
cumberland,bone spur,v8,1
cumberland,the shield,v2,1
cumberland,low roof v3,v3,1
cumberland,over and under,v2,1
cumberland,annhilation,v7,1
cumberland,maylene,v5,1
cumberland,badonka,v10,1
cumberland,huckleberry finn,v7,1
cumberland,garage door traverse,v1,1
cumberland,across the grain,v6,1
cumberland,over and out,v3,1
cumberland,slurpy,v11,1
cumberland,far away,v6,1
