crag,name,grade,ascents
horse-pens-40,bumboy,v3,763
horse-pens-40,hammerhead,v5,531
horse-pens-40,redneck,v6,505
horse-pens-40,cuts like a knife,v5,437
horse-pens-40,genesis,v3,418
horse-pens-40,popeye,v5,414
horse-pens-40,millipede,v5,333
horse-pens-40,lowdown,v4,313
horse-pens-40,centerpede,v4,300
horse-pens-40,the crown,v3,268
horse-pens-40,the beach,v4,265
horse-pens-40,uniball,v4,260
horse-pens-40,great white,v7,254
horse-pens-40,red arrow,v4,233
horse-pens-40,slider,v9,229
horse-pens-40,litz pocket problem,v8,219
horse-pens-40,mulletino,v5,217
horse-pens-40,man with the slow hand,v4,211
horse-pens-40,slush puppy,v4,204
horse-pens-40,supa coola,v6,189
horse-pens-40,stepchild,v8,182
horse-pens-40,swirls,v4,181
horse-pens-40,thugs and bitches,v8,175
horse-pens-40,lou-ser,v7,171
horse-pens-40,slingin' meat,v4,170
horse-pens-40,panty shields,v3,169
horse-pens-40,mariachi,v5,168
horse-pens-40,wasp,v2,168
horse-pens-40,getcha some,v6,166
horse-pens-40,spirit,v3,162
horse-pens-40,"earth, wind, and fire",v3,159
horse-pens-40,it's a natural,v7,151
horse-pens-40,lawdog,v8,145
horse-pens-40,eight ball,v2,141
horse-pens-40,the flow,v7,140
horse-pens-40,slabolicious,v6,134
horse-pens-40,chattanooga plow,v7,134
horse-pens-40,the thief,v8,132
horse-pens-40,ghetto superstar,v9,129
horse-pens-40,boomslang,v6,128
horse-pens-40,consumption,v7,127
horse-pens-40,copa cabana,v3,127
horse-pens-40,trick or treat,v6,120
horse-pens-40,skywalker,v9,119
horse-pens-40,crisifix,v5,118
horse-pens-40,kiss,v7,114
horse-pens-40,mortal combat,v4,112
horse-pens-40,short long,v7,110
horse-pens-40,god module,v11,110
horse-pens-40,honky tonkin',v4,110
horse-pens-40,dope,v2,107
horse-pens-40,drainpipe,v6,106
horse-pens-40,hugs and kisses,v8,105
horse-pens-40,merlin,v1,105
horse-pens-40,waterloo,v8,102
horse-pens-40,inspect her gadget,v7,94
horse-pens-40,whiplash,v5,93
horse-pens-40,sideline,v5,92
horse-pens-40,slag,v5,92
horse-pens-40,the stranger,v2,91
horse-pens-40,the wood,v5,88
horse-pens-40,sandbox,v2,86
horse-pens-40,getting jiggy with it,v6,85
horse-pens-40,grooverider,v3,85
horse-pens-40,vip,v5,81
horse-pens-40,green lantern,v4,78
horse-pens-40,megatron,v8,77
horse-pens-40,never trust a mustache,v4,76
horse-pens-40,moms,v2,75
