crag,name,grade,ascents
old-wauhatchie-pike,what a view,v5,13
old-wauhatchie-pike,slotsky's deli,v5,11
old-wauhatchie-pike,troll toll,v5,11
old-wauhatchie-pike,can you dig it?,v5,10
old-wauhatchie-pike,"moon beam sit, right",v4,10
old-wauhatchie-pike,old greg,v5,9
old-wauhatchie-pike,"moon beam sit, left",v5,8
old-wauhatchie-pike,chief wauhatchie,v5,7
old-wauhatchie-pike,lay it down,v5,7
old-wauhatchie-pike,asteroids,v6,6
old-wauhatchie-pike,siblings,v4,6
old-wauhatchie-pike,balance act,v6,5
old-wauhatchie-pike,sales job,v3,5
old-wauhatchie-pike,luna tunes,v5,5
old-wauhatchie-pike,on the spot,v2,5
old-wauhatchie-pike,coming up,v2,5
old-wauhatchie-pike,mantle practice,v0,4
old-wauhatchie-pike,finish line,v0,4
old-wauhatchie-pike,muzzle loader,v1,4
old-wauhatchie-pike,left slab,v0,4
old-wauhatchie-pike,square cut,v0,4
old-wauhatchie-pike,barishnikov dyno,v3,4
old-wauhatchie-pike,lil' dyno,v4,4
old-wauhatchie-pike,kraftwerk,v4,4
old-wauhatchie-pike,ridge traverse,v0,4
old-wauhatchie-pike,she's twenty-one!,v1,4
old-wauhatchie-pike,cleaved,v2,4
old-wauhatchie-pike,full moon,v5,3
old-wauhatchie-pike,oh brother,v4,3
old-wauhatchie-pike,dorsal loaf sit,v6,3
old-wauhatchie-pike,trash foxy right,v3,3
old-wauhatchie-pike,high council,v1,3
old-wauhatchie-pike,what a view!,v4,3
old-wauhatchie-pike,inspector gadget,v5,3
old-wauhatchie-pike,rise again,v0,3
old-wauhatchie-pike,big reveal,v5,3
old-wauhatchie-pike,the hole,v1,3
old-wauhatchie-pike,william,v0,3
old-wauhatchie-pike,craters,v0,3
old-wauhatchie-pike,clever knee,v1,3
old-wauhatchie-pike,tailored for you,v2,3
old-wauhatchie-pike,angle fangle,v6,3
old-wauhatchie-pike,shark mouth,v3,3
old-wauhatchie-pike,bread loaf,v1,3
old-wauhatchie-pike,numero uno,v0,3
old-wauhatchie-pike,the fence,v0,3
old-wauhatchie-pike,rock mont,v0,3
old-wauhatchie-pike,iron spike,v1,3
old-wauhatchie-pike,roll deep,v1,3
old-wauhatchie-pike,gully gully,v0,3
old-wauhatchie-pike,hand jam ma'am,v0,3
old-wauhatchie-pike,one hit wonder,v1,3
old-wauhatchie-pike,slide traverse,v5,3
old-wauhatchie-pike,viney hiney,v0,2
old-wauhatchie-pike,moon beam left,v5,2
old-wauhatchie-pike,dune buggy,v0,2
old-wauhatchie-pike,nose job,v1,2
old-wauhatchie-pike,clever knee low,v4,2
old-wauhatchie-pike,don't be vein,v1,2
old-wauhatchie-pike,elephant ear,v0,2
old-wauhatchie-pike,everybody to the right,v1,2
old-wauhatchie-pike,do what sit start,v1,2
old-wauhatchie-pike,she’s twenty one,v1,2
old-wauhatchie-pike,trash foxy,v6,2
old-wauhatchie-pike,angle fangle (high),v3,2
old-wauhatchie-pike,le patio,v2,2
old-wauhatchie-pike,snake eater,v4,2
old-wauhatchie-pike,turtle man,v1,2
old-wauhatchie-pike,ride the rail,v0,2
old-wauhatchie-pike,well behaved,v0,2
old-wauhatchie-pike,ride the rail sit,v1,2
old-wauhatchie-pike,a step up,v1,2
old-wauhatchie-pike,5 o'clock grunt stand,v2,2
old-wauhatchie-pike,skeeter them feet,v0,2
old-wauhatchie-pike,dentist,v5,2
old-wauhatchie-pike,cliff hanger,v1,2
old-wauhatchie-pike,red devil,v3,2
old-wauhatchie-pike,high and dry,v0,2
old-wauhatchie-pike,the groove,v3,2
old-wauhatchie-pike,phoenix,v0,2
old-wauhatchie-pike,the bulge,v1,2
old-wauhatchie-pike,out in the open,v0,2
old-wauhatchie-pike,blast hole,v0,2
old-wauhatchie-pike,do what,v0,2
old-wauhatchie-pike,hermanos circanos,v3,1
old-wauhatchie-pike,yo bro adventures,v4,1
old-wauhatchie-pike,right arete,v2,1
old-wauhatchie-pike,break in believability,v10,1
old-wauhatchie-pike,cliffhanger,v1,1
old-wauhatchie-pike,gramiccis,v0,1
old-wauhatchie-pike,dino,v4,1
old-wauhatchie-pike,half moon,v4,1
old-wauhatchie-pike,graffiti eye ball,v3,1
old-wauhatchie-pike,dorsal loaf,v4,1
old-wauhatchie-pike,traversaroids,v4,1
old-wauhatchie-pike,the face,v4,1
old-wauhatchie-pike,vista tercera,v8,1
old-wauhatchie-pike,chris and lindsay's adventure sit start,v6,1
old-wauhatchie-pike,the slide,v4,1
old-wauhatchie-pike,crock pot traverse,v4,1
old-wauhatchie-pike,farm hand,v6,1
old-wauhatchie-pike,lil’ crimper,v5,1
old-wauhatchie-pike,moon beam right,v4,1
old-wauhatchie-pike,cut and chopped,v4,1
old-wauhatchie-pike,she's twenty one,v1,1
old-wauhatchie-pike,the more the merrier,v0,1
old-wauhatchie-pike,what a thrill,v1,1
old-wauhatchie-pike,unterclick,v3,1
old-wauhatchie-pike,fish mouth,v2,1
old-wauhatchie-pike,kudzu buddies sit,v5,1
old-wauhatchie-pike,the cyclist,v5,1
old-wauhatchie-pike,bfam,v1,1
old-wauhatchie-pike,chief wauhatchie right exit,v5,1
old-wauhatchie-pike,the hidden,v1,1
old-wauhatchie-pike,pump track,v1,1
old-wauhatchie-pike,warm up muffins,v0,1
old-wauhatchie-pike,chip & lindsay's adventure,v2,1
old-wauhatchie-pike,hammerhead,v3,1
old-wauhatchie-pike,look ma’ i’m dave graham,v6,1
old-wauhatchie-pike,compression boulder,v8,1
old-wauhatchie-pike,yellow jacket traverse low,v8,1
old-wauhatchie-pike,the dino,v9,1
old-wauhatchie-pike,5 o'clock grunt sit,v0,1
old-wauhatchie-pike,a frame,v0,1
old-wauhatchie-pike,face it,v2,1
