crag,name,grade,ascents
pot-point,love handles,v3,3
pot-point,shitting bricks,v10,3
pot-point,napoleon dynamite,v3,2
pot-point,self-reliance,v5,2
pot-point,40 licks,v2,2
pot-point,giant steps,v5,2
pot-point,matthews arete,v4,2
pot-point,kings gambit,v5,2
pot-point,pistol grip,v4,2
pot-point,elvish lives,v1,1
pot-point,standing jah-vation,v6,1
pot-point,jambalya,v5,1
pot-point,boo-yah!,v7,1
pot-point,corey's,v5,1
pot-point,its cool to pee in your pants,v6,1
pot-point,long live the king,v10,1
pot-point,king for a day,v8,1
pot-point,bangin hoors,v1,1
pot-point,holy war,v4,1
pot-point,sudden death,v6,1
pot-point,pootie tang,v5,1
pot-point,inverted bird,v3,1
