crag,name,grade,ascents
roberts-mill,double dragon,v8,32
roberts-mill,the tomb,v8,32
roberts-mill,temple of doom,v10,22
roberts-mill,luminous transformation,v11,19
roberts-mill,the watchtower,v8,15
roberts-mill,roberts mill arete,v7,12
roberts-mill,bury me here,v6,9
roberts-mill,watch tower,v8,9
roberts-mill,fire from within,v9,8
roberts-mill,do not disturb,v9,8
roberts-mill,bury me there,v6,8
roberts-mill,thug life,v8,8
roberts-mill,tomb raider,v8,7
roberts-mill,fire from within low,v10,7
roberts-mill,robert's arete,v6,7
roberts-mill,fire within the temple,v10,4
roberts-mill,bunch of crimps,v4,4
roberts-mill,three point oh,v0,4
roberts-mill,bunch of wimps,v2,4
roberts-mill,tomb,v8,3
roberts-mill,bunch of tombs,v3,3
roberts-mill,tombraider,v9,2
roberts-mill,double dragon extension,v10,2
roberts-mill,sit in the mud,v7,2
roberts-mill,new kid in town,v5,2
roberts-mill,laura croft,v5,1
roberts-mill,the bow,v7,1
roberts-mill,fire from within (original low),v11,1
roberts-mill,jahstar,v6,1
roberts-mill,go for two,v6,1
roberts-mill,little dragon,v10,1
roberts-mill,tomb (left exit),v9,1
roberts-mill,dark arts,v7,1
roberts-mill,double dragon (right extension),v9,1
roberts-mill,the great wall,v8,1
roberts-mill,fire within the temple low,v11,1
roberts-mill,stick in the mud,v5,1
roberts-mill,to the right of thug life,v7,1
roberts-mill,railin the double d's,v8,1
roberts-mill,fire temple,v10,1
roberts-mill,fire from within (tomb start),v11,1
